model_size,split,utt_id,ground_truth,hypothesis_raw,wer,transcribe_seconds,duration_seconds,reference_word_count
tiny,test-clean,1580-141083-0028,THEN HE TOSSED IT DOWN AND SEIZED THE NEXT, Then he tossed it down and sees the next.,0.1111111111111111,0.1866471767425537,2.585,9
tiny,test-clean,7021-79730-0004,THE MOTHER AS SOON AS THE CHAISE IS SO FAR TURNED THAT MARY CAN NO LONGER WATCH THE EXPRESSION OF HER COUNTENANCE GOES AWAY FROM THE DOOR WITH A SMILE OF COMPLACENCY AND SATISFACTION UPON HER FACE AT THE INGENUITY AND SUCCESS OF HER LITTLE ARTIFICE," The mother, as soon as the chase is so far turned that Mary can no longer watch the expression of her confidence, goes away from the door with a smile of complacency and satisfaction on her face at the ingenuity and success of her little activists",0.08695652173913043,0.6748011112213135,17.945,46
tiny,test-clean,4446-2273-0027,WHEN SHE FINISHED ALEXANDER SHOOK HIMSELF OUT OF A REVERIE," When she finished, Alexander shook himself out of a reverie.",0.0,0.13818693161010742,3.76,10
tiny,test-clean,8230-279154-0001,WHAT IS CALLED PERCEPTION DIFFERS FROM SENSATION BY THE FACT THAT THE SENSATIONAL INGREDIENTS BRING UP HABITUAL ASSOCIATES IMAGES AND EXPECTATIONS OF THEIR USUAL CORRELATES ALL OF WHICH ARE SUBJECTIVELY INDISTINGUISHABLE FROM THE SENSATION," What is called perception differs from sensation by the fact that the sensational ingredients bring up habitual associates, images and expectations of their usual correlates, all of which are subjectively indistinguishable from the sensation.",0.0,0.20407414436340332,17.38,34
tiny,test-clean,237-134493-0009,PLEASE WAIT FOR ME MARIE EMIL COAXED, Please wait for me Marie. Amel coaxed.,0.14285714285714285,0.13001203536987305,2.975,7
tiny,test-clean,5142-36377-0005,THE DOOR OPENED AGAIN WHILE I WAS STILL STUDYING THE TWO BROTHERS WITHOUT I HONESTLY CONFESS BEING VERY FAVORABLY IMPRESSED BY EITHER OF THEM," The door opened again while I was still studying the two brothers, without I honestly confess, being very favorably impressed by either of them.",0.0,0.16556406021118164,7.085,24
tiny,test-clean,4446-2273-0034,HE FELT A TREMOR RUN THROUGH THE SLENDER YELLOW FIGURE IN FRONT OF HIM, He felt a trauma run through the slender yellow figure in front of him.,0.07142857142857142,0.1386280059814453,3.59,14
tiny,test-clean,4077-13751-0005,NEVERTHELESS THE MUSTARD SEED AMONG THE SMALLEST OF ALL SEEDS HAS ATTAINED THE PROPORTIONS OF A TREE AND THE BIRDS OF THE AIR ARE NESTING IN ITS BRANCHES THE ACORN IS NOW AN OAK OFFERING PROTECTION AND THE SWEETS OF SATISFACTION TO EVERY EARNEST PILGRIM JOURNEYING ITS WAY FOR TRUTH," Nevertheless, the mustard seed, among the smallest of all seeds, has attained the proportions of a tree, and the birds of the air are nesting in its branches. The acorn is now in oak, offering protection and the suites of satisfaction, to every earnest pilgrim journeying its way for truth.",0.04,0.2784121036529541,19.61,50
tiny,test-clean,7176-88083-0000,ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED IN BROAD SPLASHES, All about him was a tumult of bright and broken color scattered in broad splashes.,0.0,0.14523625373840332,5.695,15
tiny,test-clean,8463-294828-0035,AND SO IF I'D BEEN DELAYED BY A QUARTER OF AN HOUR OR EVEN LESS THE FRIGATE WOULD HAVE GONE WITHOUT ME AND I WOULD HAVE MISSED OUT ON THIS UNEARTHLY EXTRAORDINARY AND INCONCEIVABLE EXPEDITION WHOSE TRUE STORY MIGHT WELL MEET WITH SOME SKEPTICISM," And so, if I had been delayed by a quarter of an hour or even less, the forget would have gone without me. And I would have messed out on this unearthly, extraordinary and inconceivable expedition. Whose true story might well meet with some skepticism.",0.09090909090909091,0.24382305145263672,14.955,44
